ID,Type,Ext
120,Images,.heic
112,Images,.jpeg
111,Images,.jpg
121,Images,.raw
71,Music,.aac
75,Music,.aiff
74,Music,.alac
70,Music,.flac
76,Music,.m4a
134,Music,.m4p
68,Music,.mp3
72,Music,.ogg
73,Music,.wma
110,Video,.avchd
83,Video,.avi
102,Video,.dvd
87,Video,.flv
106,Video,.h264
107,Video,.h265
109,Video,.hdr
108,Video,.hevc
97,Video,.m2ts
103,Video,.m2v
93,Video,.m4v
85,Video,.mkv
84,Video,.mov
82,Video,.mp4
104,Video,.mpe
88,Video,.mpeg
89,Video,.mpg
105,Video,.mpv
98,Video,.mts
101,Video,.svcd
99,Video,.ts
100,Video,.vcd
94,Video,.vob
90,Video,.webm
86,Video,.wmv
